Gene,Importance
DUSP5,0.0013781093457742478
CRTAP,0.001016920000859911
LGALS3,0.000978221142476221
SMARCB1,0.0009739212693224752
TM7SF2,0.0006987293874829992
RORA,0.0006901296411755409
SORBS1,0.0006686302754068008
PIGP,0.0006084320512544483
RNF44,0.0005353342076408029
IDUA,0.0004772859200653179
VPREB1,0.00046008642745031246
IFFO1,0.0004600864274502903
OSBPL3,0.00044288693483532924
COL9A2,0.0004385870616816168
HYAL2,0.00043428718852788205
PTPN22,0.00042998731537411403
TMEM147-AS1,0.00041708769591292105
EPB41L2,0.0004106378861822857
EXTL2,0.00040418807645169473
ADAT1,0.0003977382667210927
ATP2A3,0.00038483864725984417
BMP5,0.0003762389009523526
IFI6,0.0003676391546449054
DHDDS,0.00035043966202988883
H1-10,0.0003439898522992424
RAB31,0.0003160406767999557
ABCF2,0.00031389074022312167
TMEM131L,0.0003074409304924863
IGF2BP3,0.0002988411841849836
GRB2,0.0002945413110312711
SLC1A4,0.00029454131103124893
PFKP,0.00028809150130064686
PLAGL1,0.0002816416915700004
LSM7,0.0002794917549931664
ATP6V1G1,0.00027949175499313305
TAF10,0.0002794917549931109
GNG12,0.00027519188183943165
DICER1,0.00027519188183938725
UXS1,0.00026874207210882963
STAB1,0.0002687420721087852
IFITM1,0.0002601423258012936
GSDME,0.00025799238922448177
CCT7,0.00025799238922445954
RFTN1,0.0002515425794938242
GLUL,0.0002450927697632332
TBC1D16,0.00024294283318636588
MRPL3,0.00024079289660947634
DKK1,0.00023864296003260898
SNORA64,0.0002386429600325979
SUCLG1,0.00023649302345573052
NDUFS7,0.00023219315030199584
DSP,0.00023219315030198473
IGHM,0.00023004321372510628
HIGD1A,0.00022574334057139377
ALG8,0.00022359340399449312
USP10,0.0002192935308407584
FPGS,0.00021714359426390218
ISG15,0.0002128437211102008
HNRNPK,0.00020424397480268698
UQCRC1,0.00020424397480267587
RRAS,0.00019994410164894116
HIF1A,0.00019349429191835022
EI24,0.0001934942919183391
POLR2I,0.000193494291918328
NAXD,0.000193494291918328
PSMA4,0.0001934942919183169
ZNF43,0.00019134435534142735
ALDOA,0.00018919441876461552
AHR,0.0001891944187646044
GPI,0.0001891944187645822
MAFB,0.00018919441876456
GHITM,0.00018704448218774815
PLA2G2D,0.00017844473588022325
