Gene,Importance
EXTL2,0.00024509276976325545
ENTPD1,0.000176294799303367
IGHM,0.00016877002128431461
ATP2A3,9.997205082444838e-05
SMARCB1,9.782211424759213e-05
RRAS2,9.782211424751442e-05
FN1,9.567217767068037e-05
IGLV6-57,9.352224109385743e-05
DECR1,9.137230451696787e-05
HLA-DQB1,8.599746307479395e-05
ABHD17A,8.38475264979044e-05
IFITM1,8.169758992105924e-05
FAS,7.524778019042388e-05
TOMM20,7.309784361355653e-05
MEAK7,7.309784361352323e-05
GLUL,7.20228753250951e-05
MT1HL1,6.987293874824996e-05
FGL2,6.987293874822775e-05
DENND5A,6.879797045981074e-05
NDUFB6,6.879797045981074e-05
NAGK,6.879797045978852e-05
C1QB,6.879797045978852e-05
RAD50,6.879797045978852e-05
MDH2,6.664803388292117e-05
MBNL2,6.449809730605383e-05
DNAJC1,6.019822415235243e-05
TTC19,5.91232558638688e-05
RAB31,5.804828757546288e-05
NDUFV1,5.6973319287012544e-05
GHITM,5.6973319287012544e-05
CYAT1,5.589835099861773e-05
DOLK,5.48233827101785e-05
MNDA,5.4823382710167404e-05
HSPE1,5.48233827101563e-05
C1QA,5.482338271013409e-05
DPM2,5.482338271012299e-05
DPYSL2,5.374841442172818e-05
RPS17,5.374841442171707e-05
ADM,5.3748414421683766e-05
UBE2E3,5.267344613331115e-05
ZNF43,5.267344613328895e-05
EPB41L2,5.2673446133277845e-05
CERS2,5.1598477844860824e-05
CYC1,5.1598477844849724e-05
NDUFS7,5.159847784483862e-05
SDC3,5.05235095564327e-05
CRIPT,5.05235095564216e-05
HAGH,5.05235095564216e-05
EHD1,5.05235095564105e-05
EIF3E,5.052350955639939e-05
ITIH5,4.944854126799347e-05
PGK1,4.944854126798237e-05
CD6,4.944854126798237e-05
TIMP2,4.944854126797127e-05
CNKSR1,4.944854126793796e-05
LY9,4.8373572979543145e-05
TGFBR3,4.8373572979532045e-05
ATP6V1G1,4.8373572979532045e-05
PGAP2,4.7298604691126124e-05
