Gene,Importance
SORBS1,0.0002472427063401339
LGALS3,0.000225743340571416
DICER1,0.00019134435534148286
NAXD,0.0001676950529958754
RPS17,0.00015694537011154975
PTPN22,0.00015694537011154975
CD99,0.00015264549695781504
HDAC7,0.0001504955603809477
BMP5,0.0001504955603809366
UBAP2,0.00014834562380408033
MEAK7,0.00014834562380406925
RAB31,0.00014619568722717968
NDUFA4,0.00014404575065031234
SNRPE,0.00014404575065030123
IDUA,0.00014189581407346717
SDC1,0.00013974587749657764
ATP2A3,0.00013974587749656652
ABCF2,0.00013759594091969918
BDH1,0.00013544600434285404
RNASE4,0.00013544600434283182
HIVEP1,0.00013114613118911934
PSMD8,0.00013114613118910822
REPIN1,0.00013114613118909714
POLR2I,0.00013114613118908602
H1-10,0.00012899619461222977
RNF44,0.00012684625803536243
NDUFB6,0.00012684625803535132
FBL,0.00012469632145847286
FIBP,0.0001225463848816166
USP10,0.00011824651172787082
MROH7,0.00011609657515101456
MECR,0.00011609657515101456
ZNF43,0.00011609657515100346
AASDHPPT,0.00011394663857413611
NDUFB1,0.00011179670199724656
CD53,0.0001096467654203792
NDUFS7,0.00010749682884352297
PIGP,0.00010749682884352297
HYAL2,0.00010749682884351187
APTX,0.00010534689226666671
CPOX,0.00010534689226665561
DCN,0.00010319695568977716
SND1,0.00010319695568976606
NAGK,0.00010319695568976606
SSBP1,0.00010319695568976606
VAMP7,9.889708253603135e-05
MTCH2,9.889708253602025e-05
DHDDS,9.889708253602025e-05
PPAN,9.459720938228555e-05
SMARCB1,9.459720938228555e-05
URM1,9.244727280541821e-05
FAS,9.244727280541821e-05
C19orf53,9.244727280541821e-05
CRTAP,9.24472728054071e-05
H2AC19,9.029733622855085e-05
PSMB4,9.029733622853975e-05
UQCR11,9.029733622852864e-05
TIMM13,8.81473996516835e-05
UBL5,8.81473996516835e-05
RPA3,8.81473996516724e-05
DENND5A,8.81473996516724e-05
TUFM,8.599746307480505e-05
RAD50,8.599746307480505e-05
DUSP5,8.599746307479395e-05
ARMC6,8.599746307477174e-05
NOL8,8.38475264979599e-05
ECI1,8.38475264979266e-05
CXCL12,8.169758992108145e-05
AHR,8.169758992107034e-05
IGHM,8.169758992107034e-05
GPI,8.169758992107034e-05
ARHGAP4,8.169758992105924e-05
TUBGCP3,8.169758992105924e-05
IGLC1,8.169758992104814e-05
GANAB,8.169758992104814e-05
CD81,7.954765334419189e-05
TMEM147-AS1,7.954765334419189e-05
ABHD8,7.954765334418079e-05
