gene,frequency
ATP2A3,5
ISG15,5
IFITM1,4
IDUA,4
ALG8,4
SORBS1,4
IGLJ3,3
SDC3,3
RCN2,3
EXTL2,3
FN1,3
MT1HL1,3
SIGMAR1,3
TIMP2,3
SNRPE,3
TMEM33,3
GRB2,3
CKAP2,3
ADAT1,3
CRTAP,3
RNASE6,3
BCKDHB,3
HNRNPK,3
PAICS,3
DEFB4B,3
ATRAID,3
MAPKAPK2,3
RORA,3
PPP1R14B,2
SLC5A6,2
CYAT1,2
ATP5F1B,2
GANAB,2
CNBP,2
NME1,2
RANBP6,2
VPREB1,2
DNAJA1,2
RAD50,2
PNO1,2
RPS17,2
ILVBL,2
MRM3,2
UXS1,2
TOMM20,2
CCT3,2
DECR1,2
CLEC7A,2
PAIP1,2
DUSP5,2
COPS5,2
CD81,2
CRIPT,2
LOC101929540,2
C1QA,2
TMEM147-AS1,2
CNKSR1,2
IGHA1,2
RPS27L,2
MTCH2,2
PHC2,2
ABCF2,2
MEAK7,2
SWAP70,2
SLC25A5,2
MRPL24,2
CLEC2B,2
RPA3,2
MDH2,2
OSBPL3,2
IFRD2,2
NAA50,2
SHMT1,2
NDC1,2
EHD1,2
ATIC,2
PIGP,2
MT1F,2
VDAC2,2
CD53,2
CCDC47,2
PTPN22,2
H1-2,2
SGPP1,2
CHCHD3,2
CTSO,2
IFI6,2
GPN3,2
USP10,2
CYC1,2
ZNG1F,2
PRKD2,2
IGHM,2
LAP3,2
SSBP1,2
HSPBP1,2
BTBD1,2
DHDDS,2
IGHA2,2
SRP14,2
RRAS2,2
HIGD1A,2
LDHB,2
NAXD,2
CTSH,2
ENTPD1,2
RRAS,2
PLA2G2D,2
IGK,2
H1-10,2
ITIH5,2
IGLC1,2
UQCR11,2
C8orf33,2
BBLN,2
LYRM1,2
TSSC4,2
POLR2I,2
SMARCB1,2
DPYSL2,2
HLA-DQB1,2
RAB31,2
ANTKMT,1
GNG12,1
URM1,1
SETSIP,1
PSMB4,1
ECI1,1
PSMA4,1
TUBGCP3,1
PRDM12,1
GAPDH,1
FBP2,1
EIF4G3,1
FBL,1
TIMM13,1
C1QBP,1
METAP2,1
ECM2,1
MS4A6A,1
UBL5,1
NUP155,1
C19orf53,1
RHOF,1
NDUFB1,1
MS4A4A,1
HIVEP1,1
RASL12,1
COX7C,1
COX7B,1
TXN,1
EPB41L2,1
CISD1,1
DCN,1
FXYD6,1
ETFA,1
EIF3E,1
TUFM,1
RFK,1
AEN,1
TMEM131L,1
ALG3,1
CCT5,1
IGHD,1
RSL1D1,1
CFAP298,1
MYH9,1
MT4,1
RIOX2,1
CCT4,1
MAN2A1,1
TFEC,1
SUCLG1,1
TMEM147,1
PINK1,1
SET,1
GRSF1,1
MRPL58,1
MRPL4,1
SLC22A17,1
DOLK,1
UQCRC1,1
ZBED5,1
DIMT1,1
DICER1,1
FGL2,1
BCL6,1
NDUFA8,1
RPS10,1
SECISBP2,1
AASDHPPT,1
FNBP1,1
ATP5MC3,1
F13A1,1
ADORA2B,1
MRPL15,1
AHR,1
CLDN3,1
MYCBP,1
BOP1,1
CD99,1
APEH,1
CXCL3,1
STAB1,1
PFKP,1
NPM1,1
COX5B,1
IL10RA,1
NIT2,1
IGLV6-57,1
CKS2,1
PTDSS1,1
NOTCH4,1
SERPINB4,1
CD6,1
P4HTM,1
POP4,1
NCBP2,1
TOR1B,1
MAT2A,1
ITGB2,1
CXCL2,1
SCAP,1
MXRA7,1
DGAT1,1
HAGH,1
LY9,1
VDAC1,1
DRAP1,1
ADM,1
TMEM106C,1
TRIM39-RPP21,1
SNRPF,1
CDIPT,1
SLC1A4,1
POLR2D,1
NDUFA9,1
H3-3A,1
IARS2,1
ABHD8,1
RNF44,1
UBE2E3,1
GPRC5D,1
CTPS1,1
NDUFC2,1
MECR,1
KAT2A,1
PPP2R1A,1
PPAN,1
STOML2,1
REPIN1,1
LSM7,1
EIF3B,1
HDDC2,1
CPOX,1
PTGIS,1
HSPA9,1
IGF2,1
HNRNPAB,1
ZNF43,1
SLC25A3,1
ENTPD3,1
APOC1,1
APOO,1
UQCRFS1,1
PIM1,1
HLA-DRA,1
PARM1,1
CD48,1
PIGO,1
TBC1D16,1
ACP5,1
RFTN1,1
SH3TC1,1
TIMM8B,1
NAGK,1
NLRP2,1
UBE2S,1
CD320,1
OBSL1,1
DKK1,1
DDX21,1
PON2,1
HYAL2,1
FIBP,1
EIF3G,1
USP27X,1
LGALS3,1
SH2B2,1
LIMA1,1
NRIP3,1
BMP5,1
IMPDH2,1
CD84,1
NDUFA13,1
POLE3,1
VAMP7,1
NDUFA4,1
IGLL5,1
FCAR,1
PSMB7,1
ALDOA,1
CLPP,1
RPL24,1
C9orf78,1
MIR1236,1
NDUFS7,1
PSMD8,1
C3AR1,1
MRPL3,1
CXCL12,1
C5orf15,1
NOL8,1
FAM53C,1
POMGNT1,1
HSPD1,1
ARMC6,1
TRMT1,1
LAGE3,1
TMEM259,1
MYL6B,1
DBI,1
DPP3,1
ARHGAP4,1
TM7SF2,1
EI24,1
TAF10,1
FPGS,1
GHITM,1
DCTD,1
CCNB1IP1,1
UBXN8,1
PFKM,1
RAD23A,1
HDAC7,1
PGAP2,1
UTP18,1
DNAJC1,1
YWHAQ,1
CUEDC2,1
RBMS1,1
PLAGL1,1
