ElasticNet,RandomForest,XGBoost,SVM_RBF,Stacking
DUSP5,EXTL2,ITIH5,SORBS1,CTSW
CRTAP,ENTPD1,EXTL2,LGALS3,MROH7
LGALS3,IGHM,DUSP5,DICER1,F13A1
SMARCB1,ATP2A3,EHD1,NAXD,FCER1G
TM7SF2,SMARCB1,UXS1,RPS17,TBC1D8
RORA,RRAS2,CYAT1,PTPN22,MRC1
SORBS1,FN1,RAD50,CD99,CRYBG1
PIGP,IGLV6-57,POLRMT,HDAC7,ARHGEF40
RNF44,DECR1,RORA,BMP5,ITIH5
IDUA,HLA-DQB1,PTPN22,UBAP2,COL9A2
VPREB1,ABHD17A,FN1,MEAK7,SHMT1
IFFO1,IFITM1,SDC3,RAB31,EPB41L2
OSBPL3,FAS,NLRP2,NDUFA4,CXCL8
COL9A2,TOMM20,SMARCB1,SNRPE,IGHA1
HYAL2,MEAK7,DICER1,IDUA,NLRP2
PTPN22,GLUL,VPREB1,SDC1,HIVEP1
TMEM147-AS1,MT1HL1,IGLJ3,ATP2A3,ASPSCR1
EPB41L2,FGL2,ATP2A3,ABCF2,RHBDF1
EXTL2,DENND5A,ADAT1,BDH1,CD84
ADAT1,NDUFB6,CKAP2,RNASE4,PLA2G2D
ATP2A3,NAGK,ALDOA,HIVEP1,ENTPD3
BMP5,C1QB,DECR1,PSMD8,LIMA1
IFI6,RAD50,C3AR1,REPIN1,COTL1
DHDDS,MDH2,CRIPT,POLR2I,RNASE4
H1-10,MBNL2,MYL6B,H1-10,LYVE1
RAB31,DNAJC1,IDUA,RNF44,TMEM147-AS1
ABCF2,TTC19,ELAVL1,NDUFB6,CEBPD
TMEM131L,RAB31,HIGD1A,FBL,FN1
IGF2BP3,NDUFV1,FRMD4B,FIBP,TUBGCP3
GRB2,GHITM,CD99,USP10,LOC101929540
SLC1A4,CYAT1,AASDHPPT,MROH7,MT4
PFKP,DOLK,ISG15,MECR,ATP2A3
PLAGL1,MNDA,TIMP2,ZNF43,IGF2
LSM7,HSPE1,ATRAID,AASDHPPT,RASL12
ATP6V1G1,C1QA,LGALS3,NDUFB1,SH3TC1
TAF10,DPM2,SGPP1,CD53,FCGR3A
GNG12,DPYSL2,TFEC,NDUFS7,CD6
DICER1,RPS17,TOMM20,PIGP,CDC42BPA
UXS1,ADM,RPA3,HYAL2,MAFB
STAB1,UBE2E3,DCTN3,APTX,MEAK7
IFITM1,ZNF43,GPN3,CPOX,DRC9
GSDME,EPB41L2,DENND5A,DCN,DCN
CCT7,CERS2,IGHA2,SND1,COBLL1
RFTN1,CYC1,TM7SF2,NAGK,DSP
GLUL,NDUFS7,CEBPA,SSBP1,ENDOG
TBC1D16,SDC3,CDIPT,VAMP7,FUT7
MRPL3,CRIPT,URM1,MTCH2,CD36
DKK1,HAGH,USP10,DHDDS,LUM
SNORA64,EHD1,DPYSL2,PPAN,USP27X
SUCLG1,EIF3E,OSBPL3,SMARCB1,TSSC4
NDUFS7,ITIH5,H2AC19,URM1,NEB
DSP,PGK1,DCN,FAS,C1QB
IGHM,CD6,TOR1B,C19orf53,TRIO
HIGD1A,TIMP2,EPB41L2,CRTAP,LGALS3
ALG8,CNKSR1,EID1,H2AC19,IDUA
USP10,LY9,MT1HL1,PSMB4,TGFBI
FPGS,TGFBR3,H1-10,UQCR11,NDUFB6
ISG15,ATP6V1G1,HIVEP1,TIMM13,CD163
HNRNPK,PGAP2,COPS5,UBL5,NRIP3
UQCRC1,,RPS17,RPA3,STAB1
RRAS,,ABCA8,DENND5A,AHR
HIF1A,,SDC1,TUFM,RIOX2
EI24,,DRAP1,RAD50,BYSL
POLR2I,,RAB31,DUSP5,TOR1A
NAXD,,PLAGL1,ARMC6,CD99
PSMA4,,IGLC1,NOL8,ITGB2
ZNF43,,IGHA1,ECI1,BOP1
ALDOA,,CFAP298,CXCL12,HLA-DMA
AHR,,SIGMAR1,AHR,CD320
GPI,,PFKP,IGHM,IL10RA
MAFB,,PSMD8,GPI,PFKP
GHITM,,,ARHGAP4,H1-2
PLA2G2D,,,TUBGCP3,GPAA1
,,,IGLC1,MYO7A
,,,GANAB,MRPL4
,,,CD81,FSHR
,,,TMEM147-AS1,CLDN3
,,,ABHD8,A2M
,,,,PRMT5
,,,,ISG15
,,,,RNASE6
,,,,MT1HL1
,,,,PBK
,,,,EHD1
,,,,MECR
,,,,HOMER1
,,,,C1QA
,,,,TMEM106C
,,,,ADM
,,,,H2AC19
,,,,HDAC7
,,,,ITGA5
,,,,HSPBP1
,,,,AXL
,,,,DKK1
,,,,IFI6
,,,,APOC1
,,,,RRAS2
,,,,AGO4
,,,,WDR18
,,,,RBMS1
,,,,PDCD1LG2
,,,,SLC22A17
,,,,DPP3
,,,,ANG
,,,,FXYD6
,,,,ABHD8
,,,,CKAP2
,,,,IFITM1
,,,,CCT5
,,,,PTGIS
,,,,DGAT1
,,,,ADIRF
,,,,RRAS
,,,,SLC7A8
,,,,MDN1
,,,,TIMP2
,,,,ADORA2B
,,,,SLC5A6
,,,,IGLV6-57
,,,,MS4A6A
,,,,H2BC9
,,,,HLA-DRA
,,,,DPEP2
,,,,BCKDHB
,,,,PPAN
,,,,CXCL2
,,,,PPP1R14B
,,,,RORA
,,,,CXCL3
,,,,FCAR
,,,,TRMT1
,,,,ECM2
,,,,PRC1
,,,,AKAP12
,,,,RNASE1
,,,,RAB31
,,,,CLEC7A
,,,,DPYSL2
,,,,H2AC6
,,,,LY9
,,,,EPB41L3
,,,,CD27
,,,,TIMM13
,,,,DEFB4B
,,,,SMPDL3A
,,,,IL4R
,,,,MAPKAPK2
,,,,LCP1
,,,,DUSP5
,,,,GLUL
,,,,BMP5
,,,,NUP155
,,,,PGAP2
,,,,TUBA1A
,,,,GNG12
,,,,GPRC5D
,,,,ABCF2
,,,,MRPL46
,,,,COL9A3
,,,,CXCL12
,,,,IFFO1
,,,,TBXT
,,,,UBE2S
,,,,POLD2
,,,,MNDA
,,,,TP53TG1
,,,,CYAT1
,,,,BCAT2
,,,,AEN
,,,,KAT2A
,,,,CD48
,,,,PTPN1
,,,,CLPP
,,,,ZNF729
,,,,LBH
,,,,TYROBP
,,,,CEBPA
,,,,ST3GAL6
,,,,ALG3
,,,,PSMD8
,,,,PTPN22
,,,,RPL29
,,,,SSNA1
,,,,PXDC1
,,,,TGFBR3
,,,,EXOSC5
,,,,IFRD2
,,,,CKS2
,,,,GPA33
,,,,SORBS1
,,,,CCNB1IP1
,,,,BCL6
