Gene,AUC
RCN2,0.6633844301593104
MRPL4,0.6597295379786294
ALG8,0.6593210500290241
HNRNPK,0.6559886483348741
NME1,0.6531184830047513
AHCY,0.6526992453722613
SNRPE,0.6525165007632274
NDUFV1,0.6523122567884247
RPA3,0.6494528411411864
ATIC,0.649259346849268
UQCRFS1,0.6479263861716079
EEF1E1,0.646657923591254
LDHB,0.6458194483262745
MDH2,0.645475458473975
TAF10,0.6453894610109003
TMEM147,0.6453034635478253
PAICS,0.6447659794036077
TMX2,0.6446799819405328
CUEDC2,0.642992281727689
ATP5F1B,0.6425730440951992
SNRPD2,0.6424547975834713
RPS19,0.6419925612194439
SIGMAR1,0.6418850643906004
RFX5,0.6407025992733213
CCT4,0.6402726119579473
TRMT1,0.639627630984886
COX5B,0.6392406424010492
POLD2,0.6391976436695118
RPL29,0.639176144303743
NDUFB8,0.6390793971577838
RPSA2,0.6386816588910627
VDAC2,0.6382624212585729
OLA1,0.6382624212585728
CCT3,0.6380044288693483
IMPDH2,0.6379721798206952
STOML2,0.6377679358458925
IFRD2,0.6377571861630081
TOMM20,0.6376496893341645
ALG3,0.6376281899683959
PSMB7,0.6373486982134027
PMS2P1,0.6373486982134027
COX6B1,0.6371444542386
RPS17,0.6369617096295659
TRIM39-RPP21,0.6367467159718788
RANBP6,0.6366929675574571
SSNA1,0.6363812267538107
NHP2,0.6361984821447768
COX5A,0.6360802356330488
UBE2S,0.6358867413411304
NDUFB6,0.635596499903253
POLR2H,0.6350482660761507
EIF3B,0.6347472749553889
POLE3,0.6346182787607766
SNORD10,0.6342097908111711
BCKDHB,0.6341990411282867
AK6,0.6339517984219466
ATP2A3,0.6336293079354158
EI24,0.6335218111065724
COX8A,0.6334143142777288
NDUFA4,0.6330918237911982
PPIA,0.6327478339388988
SNRPF,0.6324038440865994
CISD1,0.6320168555027627
CCNB1IP1,0.6318018618450755
PNO1,0.6316621159675789
CCT6A,0.6315008707243137
FPGS,0.6314363726270075
DIMT1,0.6313181261152796
ATP6V1G1,0.6311783802377829
ILVBL,0.630877389117021
H1-2,0.6306301464106809
LAP3,0.6306193967277965
NDUFAF4,0.6305548986304903
IK,0.6304689011674155
AVEN,0.6302539075097284
LAMTOR2,0.6302539075097284
HNRNPAB,0.6301141616322318
GPI,0.6300174144862727
UQCR11,0.629877668608776
PIGO,0.6297916711457012
TXN,0.6297916711457012
DAP3,0.6297164233655108
MRPL15,0.6295014297078236
GAPDH,0.629211188269946
ARHGAP4,0.6290929417582181
MIR6890,0.6290176939780276
PRKD2,0.6289531958807215
CTSO,0.6288027003203405
MMADHC,0.6286737041257283
CNIH1,0.6284157117365038
CD53,0.6284049620536194
RPL36A,0.6281254702986261
MDH1,0.6280609722013201
H2AC6,0.6280394728355514
PAIP1,0.6279319760067079
FIBP,0.6278782275922861
UBXN8,0.6278674779094017
NDC1,0.6272224969363405
ADAM10,0.6268570077182724
ZNG1F,0.6267387612065444
PIGP,0.6266420140605852
UQCRQ,0.6259540343559864
POLRMT,0.6259432846731021
ETFA,0.625911035624449
HMGN3,0.6257605400640681
RSL1D1,0.625760540064068
SETSIP,0.6256530432352246
PMS2P9,0.6256100445036872
RFK,0.6254272998946531
HDDC2,0.6253950508460001
DECR1,0.6251155590910069
ELOB,0.6250403113108163
GHITM,0.6249973125792789
MRPL34,0.6249220647990885
SLC25A5,0.6246425730440952
TOR1B,0.6246103239954421
RAD23A,0.6245780749467891
CD47,0.6245673252639047
CCT5,0.6245028271665987
PHB2,0.6242555844602584
TIMM13,0.6242555844602584
