Gene,Beta,P,FDR,Significant
A1CF,-0.3068191620605238,0.6541449700217599,0.999927097933373,False
A2M,-0.8525415812909793,0.2401091286706487,0.999927097933373,False
A4GALT,-0.19216783850108088,0.8176679029433818,0.999927097933373,False
A4GNT,-0.19822918084406727,0.8436747485292249,0.999927097933373,False
AAAS,-0.303299886293534,0.737088507428932,0.999927097933373,False
AACS,0.3801185888347779,0.7098307168954372,0.999927097933373,False
AADAC,-0.16205441621137012,0.8433358095304975,0.999927097933373,False
AAGAB,-0.06858304576613562,0.9498547869388063,0.999927097933373,False
AAK1,-0.1903585716041771,0.8293502609759924,0.999927097933373,False
AAMDC,0.03923161549483982,0.9613502042029411,0.999927097933373,False
AAMP,-0.13088745383827166,0.8997040249200601,0.999927097933373,False
AANAT,-0.20350557241373382,0.8018694210718706,0.999927097933373,False
AAR2,0.27858327864858706,0.7659033941496278,0.999927097933373,False
AARS1,-0.1964169210783343,0.8460708646710615,0.999927097933373,False
AASDHPPT,0.6827999704306229,0.5500004349411625,0.999927097933373,False
AASS,0.12488334400425552,0.8885779740834265,0.999927097933373,False
AATF,0.3279723051246717,0.749054212031182,0.999927097933373,False
AATK,-0.3432000411508877,0.6353604394042809,0.999927097933373,False
ABAT,-0.08629838596474057,0.9254365359526231,0.999927097933373,False
ABCA1,-0.042273444893110294,0.9683647877638246,0.999927097933373,False
ABCA11P,-0.17623429107934818,0.868815527139865,0.999927097933373,False
ABCA12,-0.09907793393372077,0.8916770557352789,0.999927097933373,False
ABCA2,-0.21689896488827257,0.8043682997425923,0.999927097933373,False
ABCA3,-0.0922813316014387,0.8701098777523557,0.999927097933373,False
ABCA4,-0.23945366016456754,0.7570275632243426,0.999927097933373,False
ABCA5,-0.35801276960613493,0.7473676541129595,0.999927097933373,False
ABCA6,-0.2637139026782207,0.7659511828949455,0.999927097933373,False
ABCA7,0.17484647406302184,0.8477690620940579,0.999927097933373,False
ABCA8,-0.6580754979816025,0.44057944523222603,0.999927097933373,False
ABCB1,0.11882161897630036,0.8952322461855604,0.999927097933373,False
ABCB11,-0.07078161331791201,0.9232797878564316,0.999927097933373,False
ABCB4,0.30917549586443066,0.6954680628168348,0.999927097933373,False
ABCB6,0.06624146128614844,0.9402344172581416,0.999927097933373,False
ABCB7,0.27951544610474444,0.7833898632073688,0.999927097933373,False
ABCB8,0.08627499643716037,0.916827216975463,0.999927097933373,False
ABCB9,-0.13186488672582336,0.8760443646247231,0.999927097933373,False
ABCC1,-0.21970692833036315,0.8398636880015302,0.999927097933373,False
ABCC10,0.5139289355083141,0.6031644394106634,0.999927097933373,False
ABCC2,-0.11189426092599897,0.8792181266097179,0.999927097933373,False
ABCC3,-0.5090716924452304,0.5487190961094734,0.999927097933373,False
ABCC4,-0.1111328144213497,0.8943728268531339,0.999927097933373,False
ABCC5,0.06800239364957533,0.9379903949140826,0.999927097933373,False
ABCC6,0.12196411496306732,0.9025332415569065,0.999927097933373,False
ABCC8,-0.3706980386345864,0.6823810767542866,0.999927097933373,False
ABCC9,-0.3990740191468918,0.6642414310018141,0.999927097933373,False
ABCD1,-0.20951240458956455,0.8040734212322229,0.999927097933373,False
ABCD2,-0.1244048755191748,0.9131791468606776,0.999927097933373,False
ABCD3,-0.2515468182766729,0.7637569692910993,0.999927097933373,False
