Gene,AUC,Coefficient,Intercept
IGHA1,0.6874422204544965,-0.7118943123125824,0.22493183460975247
IGK,0.681852385354632,-0.790744092849685,0.22342072392066717
IGHM,0.6808849138950401,-0.6606797761281474,0.23291550237925812
IGLJ3,0.6745211016275021,-0.74116165289989,0.22624826761080158
CTSH,0.6661470986605894,-0.5969166687308931,0.22141355190799103
RCN2,0.6633844301593104,0.5817314510235806,0.24481676255041285
IGHA2,0.6625029561627932,-0.6519782077433781,0.22377331658659164
MRPL4,0.6597295379786294,0.5294755636938019,0.2429266158109784
ALG8,0.6593210500290241,0.5388125122101984,0.24414987120974477
PTPN22,0.6570636166233097,-0.5916711846985011,0.23008098446624015
HNRNPK,0.6559886483348741,0.5318935928583599,0.2381759656643913
IGLL5,0.6542901984391459,-0.5845374033441626,0.22245055898404675
CD99,0.6540537054156902,-0.5039495946221223,0.23273570756295572
NME1,0.6531184830047513,0.45882442077364827,0.2409766079868835
CD81,0.652957237761486,-0.4618848312550228,0.2277629756912663
AHCY,0.6526992453722613,0.5255640058027631,0.24537068551151825
SNRPE,0.6525165007632274,0.46585084417174566,0.24123545801311452
NDUFV1,0.6523122567884247,0.483453274460332,0.2385885959094118
RPA3,0.6494528411411864,0.48381059793878883,0.24204213192615295
ATIC,0.649259346849268,0.5007284931444819,0.24430414498266015
UQCRFS1,0.6479263861716079,0.49051096424357815,0.24021034649487932
LGALS3,0.6471309096381657,-0.4488196263979508,0.2235866345953383
EEF1E1,0.646657923591254,0.44725008230882146,0.2396974427708569
LDHB,0.6458194483262745,0.47463477256865405,0.24023444116882345
OBSL1,0.6455829553028185,-0.515292156564375,0.22963547964051043
MDH2,0.645475458473975,0.3734168140596042,0.23432845448837805
TAF10,0.6453894610109003,0.5108599153716873,0.24360276111741538
TMEM147,0.6453034635478253,0.5243339399199888,0.24714629812252248
PAICS,0.6447659794036077,0.49246829020598737,0.24072544561989573
TMX2,0.6446799819405328,0.4694970842608966,0.2375591403571934
CKAP2,0.6440779996990089,-0.5625507709683998,0.23224381282343443
SDC3,0.6431212779223012,-0.5006473513203255,0.22092599574099314
CUEDC2,0.642992281727689,0.4573356555422145,0.23856335237447115
DPYSL2,0.6426375421925054,-0.33971339487371693,0.2242362419784806
HLA-DMA,0.6426052931438524,-0.4947326290855908,0.22394677779045785
ATP5F1B,0.6425730440951992,0.45388107847183323,0.2378349927399476
SNRPD2,0.6424547975834713,0.4969347359033481,0.2425754544055003
HMOX1,0.6422720529744372,-0.5480135514925991,0.21948376413167692
RPS19,0.6419925612194439,0.4475485929040667,0.2362959725053556
SIGMAR1,0.6418850643906004,0.4795381495600982,0.2424997491553711
SGPP1,0.6416055726356074,-0.3887144566835583,0.22734430736820407
MBNL2,0.6408960935652398,-0.42943274342415416,0.2304668007312118
RFX5,0.6407025992733213,0.5166157567373079,0.23785120764320666
CCT4,0.6402726119579473,0.44808893914551595,0.23751053524414692
VPREB1,0.6396706297164233,-0.527139649023441,0.22811075323066102
TRMT1,0.639627630984886,0.5112894451306684,0.24189350930384246
CD27,0.6394986347902736,-0.46726573328470106,0.22837926525206867
CEBPD,0.6394771354245049,-0.526914657745561,0.2220076664448106
COX5B,0.6392406424010492,0.46433344440483876,0.24049279143836466
POLD2,0.6391976436695118,0.4666988727763049,0.23674286184069973
RPL29,0.639176144303743,0.47582601146915765,0.24043215823862296
NDUFB8,0.6390793971577838,0.46680232532649735,0.23759500743531284
RPSA2,0.6386816588910627,0.43114267765252323,0.23579859759811525
VDAC2,0.6382624212585729,0.4509335869830375,0.23646308321523216
OLA1,0.6382624212585728,0.40442725632597665,0.23648748437361225
CCT3,0.6380044288693483,0.4384897919169076,0.23864971235971597
COBLL1,0.6379829295035797,-0.4275913234109558,0.22884988904826056
IMPDH2,0.6379721798206952,0.47700721696392884,0.24103449292207743
STOML2,0.6377679358458925,0.4634016442094161,0.237825834581556
IFRD2,0.6377571861630081,0.41557833441118935,0.2364870925100952
TOMM20,0.6376496893341645,0.3844473227137723,0.23276100229237998
ALG3,0.6376281899683959,0.4480181228341975,0.23860890181037867
PSMB7,0.6373486982134027,0.4402167038872193,0.2362934563015474
PMS2P1,0.6373486982134027,0.43064872498288004,0.23507801836409203
COX6B1,0.6371444542386,0.47750443267504,0.24256194193215935
RPS17,0.6369617096295659,0.4466581706633257,0.23620632476205894
TRIM39-RPP21,0.6367467159718788,0.448301893156466,0.23681305323004398
RANBP6,0.6366929675574571,0.4322037588585318,0.23420578076729517
CTSB,0.6364672242168856,-0.5511380946964592,0.22236536465743637
SSNA1,0.6363812267538107,0.4410903476580845,0.23654353798690383
